"Start","Finish","Distance (mi)","Steps (count)"
"19-Apr-2016 00:00","20-Apr-2016 00:00","1.67939460705443","4064"
"20-Apr-2016 00:00","21-Apr-2016 00:00","4.51885701703334","10300"
"21-Apr-2016 00:00","22-Apr-2016 00:00","7.06112904205623","18129"
"22-Apr-2016 00:00","23-Apr-2016 00:00","1.84505396011138","5011"
"23-Apr-2016 00:00","24-Apr-2016 00:00","1.89702059271","4558"
"24-Apr-2016 00:00","25-Apr-2016 00:00","2.99316724940887","7342"
"25-Apr-2016 00:00","26-Apr-2016 00:00","1.72644344119303","4541"
"26-Apr-2016 00:00","27-Apr-2016 00:00","3.3886317222638","7690"
"27-Apr-2016 00:00","28-Apr-2016 00:00","1.49056919437303","3758"
"28-Apr-2016 00:00","29-Apr-2016 00:00","4.65567850739615","11694"
"29-Apr-2016 00:00","30-Apr-2016 00:00","2.93649877273255","7374"
"30-Apr-2016 00:00","01-May-2016 00:00","2.06987755240609","4980.90254027801"
"01-May-2016 00:00","02-May-2016 00:00","1.3216256710606","3452.09745972199"
"02-May-2016 00:00","03-May-2016 00:00","2.19299265555384","5846"
"03-May-2016 00:00","04-May-2016 00:00","3.93376205172444","10098"
"04-May-2016 00:00","05-May-2016 00:00","5.01561590949906","12860"
"05-May-2016 00:00","06-May-2016 00:00","4.11740635293585","10426"
"06-May-2016 00:00","07-May-2016 00:00","1.81483928526471","4846"
"07-May-2016 00:00","08-May-2016 00:00","1.93934344749677","4809.42393776394"
"08-May-2016 00:00","09-May-2016 00:00","3.80169800077444","9377.13782508508"
"09-May-2016 00:00","10-May-2016 00:00","2.89587093425956","6878.43823715098"
"10-May-2016 00:00","11-May-2016 00:00","3.30629975313189","8255"
"11-May-2016 00:00","12-May-2016 00:00","7.64954491774474","18655"
"12-May-2016 00:00","13-May-2016 00:00","4.13334844300034","8630"
"13-May-2016 00:00","14-May-2016 00:00","2.66681606984919","6443"
"14-May-2016 00:00","15-May-2016 00:00","6.27314011746466","15238.8562897621"
"15-May-2016 00:00","16-May-2016 00:00","7.17043825406606","18021.1437102379"
"16-May-2016 00:00","17-May-2016 00:00","3.22251259232725","8111"
"17-May-2016 00:00","18-May-2016 00:00","1.96674538370275","5078"
"18-May-2016 00:00","19-May-2016 00:00","2.48564733030984","6612"
"19-May-2016 00:00","20-May-2016 00:00","1.89716771681162","5005"
"20-May-2016 00:00","21-May-2016 00:00","1.95932258577504","5119"
"21-May-2016 00:00","22-May-2016 00:00","4.37845411972785","10844"
"22-May-2016 00:00","23-May-2016 00:00","4.53657928288697","9197"
"23-May-2016 00:00","24-May-2016 00:00","3.84844990280483","9044"
"24-May-2016 00:00","25-May-2016 00:00","3.59870228435883","8482"
"25-May-2016 00:00","26-May-2016 00:00","2.70238554499792","6617"
"26-May-2016 00:00","27-May-2016 00:00","3.78274528396908","9479"
"27-May-2016 00:00","28-May-2016 00:00","3.84130619233421","8161"
"28-May-2016 00:00","29-May-2016 00:00","1.94315710586669","5304"
"29-May-2016 00:00","30-May-2016 00:00","0.165804215984761","392"
"30-May-2016 00:00","31-May-2016 00:00","1.09708745414928","2739"
"31-May-2016 00:00","01-Jun-2016 00:00","4.58014588008687","10811"
"01-Jun-2016 00:00","02-Jun-2016 00:00","1.57005018098458","3894"
"02-Jun-2016 00:00","03-Jun-2016 00:00","3.7127785737409","9911"
"03-Jun-2016 00:00","04-Jun-2016 00:00","3.76146357144976","9536"
"04-Jun-2016 00:00","05-Jun-2016 00:00","3.20154748025992","7465"
"05-Jun-2016 00:00","06-Jun-2016 00:00","1.36879087996483","3662"
"06-Jun-2016 00:00","07-Jun-2016 00:00","2.65285481556858","6428"
"07-Jun-2016 00:00","08-Jun-2016 00:00","3.67820446402913","9138.66293216466"
"08-Jun-2016 00:00","09-Jun-2016 00:00","9.05983635745791","23397.3370678353"
"09-Jun-2016 00:00","10-Jun-2016 00:00","7.28148778503139","18028.3578491471"
"10-Jun-2016 00:00","11-Jun-2016 00:00","10.6357400095015","26962.6421508529"
"11-Jun-2016 00:00","12-Jun-2016 00:00","10.1131991350288","25429.9444505506"
"12-Jun-2016 00:00","13-Jun-2016 00:00","5.52825497285142","15019.0555494494"
"13-Jun-2016 00:00","14-Jun-2016 00:00","1.02210120804147","2529"
"14-Jun-2016 00:00","15-Jun-2016 00:00","1.95414505470496","4721"
"15-Jun-2016 00:00","16-Jun-2016 00:00","3.03085188460573","7600"
"16-Jun-2016 00:00","17-Jun-2016 00:00","0.400546252450419","1057"
"17-Jun-2016 00:00","18-Jun-2016 00:00","3.11416905108775","8108"
"18-Jun-2016 00:00","19-Jun-2016 00:00","1.49193385989483","3777.97577196821"
"19-Jun-2016 00:00","20-Jun-2016 00:00","3.06433014755317","8065.02422803179"
"20-Jun-2016 00:00","21-Jun-2016 00:00","2.93480611970665","7594"
"21-Jun-2016 00:00","22-Jun-2016 00:00","3.4790192758129","8772"
"22-Jun-2016 00:00","23-Jun-2016 00:00","0.701794420424684","1674"
"23-Jun-2016 00:00","24-Jun-2016 00:00","2.97336861289553","7574"
"24-Jun-2016 00:00","25-Jun-2016 00:00","3.63712048924405","9851"
"25-Jun-2016 00:00","26-Jun-2016 00:00","2.79344500748588","7198"
"26-Jun-2016 00:00","27-Jun-2016 00:00","2.15053685479449","5364"
"27-Jun-2016 00:00","28-Jun-2016 00:00","1.27935337644009","3045"
"28-Jun-2016 00:00","29-Jun-2016 00:00","3.40367620345883","8663"
"29-Jun-2016 00:00","30-Jun-2016 00:00","2.22951568282132","5750"
"30-Jun-2016 00:00","01-Jul-2016 00:00","1.45535191506918","3734"
"01-Jul-2016 00:00","02-Jul-2016 00:00","2.62607781257357","6220"
