Datum,Stampfenbachstrasse_PM10,Schimmelstrasse_PM10,Rosengartenstrasse_PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-15,9.13,10.63,11.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-16,NaN,11.27,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-17,13.75,15.06,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-18,15.5,16.81,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-19,16.55,18.03,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-20,15.5,15.84,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-21,11.97,14.77,13.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-22,14,13.77,16.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-23,17.26,16.57,18.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-24,10.42,9.85,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-25,14.36,17.31,17.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-26,14.71,16.45,17.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-27,18.96,19.8,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-28,16.05,15.51,18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-29,5.82,5.17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,7.13,7.46,12.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-01,10.79,14.06,13.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-02,12.95,12.23,14.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-03,15.01,14.59,15.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-04,19.79,21.84,22.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-05,9.5,10.9,14.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-06,13.91,12.98,15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-07,9.51,10.03,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-08,8.37,5.71,12.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,9.61,7.59,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,4.59,5.46,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,8.99,8.62,15.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-12,7.73,9.51,12.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-13,7.38,7.86,12.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,9.09,8.2,13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,12.7,14.97,18.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,16.36,19.41,21.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,19.15,19.53,24.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,17.57,17.66,29.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-19,22.23,22.74,26.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-20,18.9,20.07,21.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,4.87,6.48,13.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,3.67,7.3,10.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,19.2,21.57,20.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,19.42,22.03,20.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,20.07,18.85,24.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-26,10.92,11.24,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-27,9.1,9.17,12.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,13.1,14.09,15.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,4.1,7.28,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,7.32,6.52,12.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,32.36,20.95,20.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,34.12,33.11,34.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-02,42.85,35.35,48.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-03,12.46,7.87,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,14.04,10.37,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,12.23,9.57,11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,18.96,18.43,15.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,23.05,17.81,19.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,15.12,11.3,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-09,9.04,7.75,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-10,12.14,12.52,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,8.99,11.23,13.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,12.42,13.18,15.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,12.15,11.49,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,8.36,7.47,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,6.74,7.19,11.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-16,5.69,8.14,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-17,9.3,6.21,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,12.83,12.37,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,12.04,14.23,14.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,11.63,15.79,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,13.54,12.31,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,14.98,13.98,14.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-23,12.64,10.98,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-24,8.38,8.51,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
